text,label,text_length,word_count,cleaned_text,processed_text,word_count_processed,processed_length
i sit here feeling drained i really wonder what will i do when i reach that point,sadness,81,17,i sit here feeling drained i really wonder what will i do when i reach that point,sit feeling drained really wonder reach point,7,45
i buy something i go out and look at what else i didnt buy and then after a bit of comparison here and there i suddenly feel dissatisfied with my purchase,anger,154,31,i buy something i go out and look at what else i didnt buy and then after a bit of comparison here and there i suddenly feel dissatisfied with my purchase,buy something go look else didnt buy bit comparison suddenly feel dissatisfied purchase,13,87
ive been feeling incredibly inadequate more so than usual and its gotten to a point where i almost feel paralyzed by it,sadness,119,22,ive been feeling incredibly inadequate more so than usual and its gotten to a point where i almost feel paralyzed by it,ive feeling incredibly inadequate so usual gotten point almost feel paralyzed,11,77
im amazed how many men say they feel unloved if the house is messy and they have to fix their own dinner,sadness,104,22,im amazed how many men say they feel unloved if the house is messy and they have to fix their own dinner,im amazed many men say feel unloved house messy fix dinner,11,58
i feel a restless weekend heading our way,fear,41,8,i feel a restless weekend heading our way,feel restless weekend heading way,5,33
i feel ugly i cover myself with a beautiful blanket in a make believe gown,sadness,74,15,i feel ugly i cover myself with a beautiful blanket in a make believe gown,feel ugly cover beautiful blanket make believe gown,8,51
i always said i felt so blessed to have him and today that feeling is been reassured many times,joy,95,19,i always said i felt so blessed to have him and today that feeling is been reassured many times,always said felt so blessed today feeling reassured many time,10,61
i cant do strappy shoes at work i just feel weird so i took these off thrifted ninewest,fear,87,18,i cant do strappy shoes at work i just feel weird so i took these off thrifted ninewest,cant strappy shoe work just feel weird so took thrifted ninewest,11,64
i love the fact that i look as best i can and i feel terrific because i eat right and constantly exercise,joy,105,22,i love the fact that i look as best i can and i feel terrific because i eat right and constantly exercise,love fact look best feel terrific eat right constantly exercise,10,63
i decent article which i knew likely had good information because my initial response was to feel offended and want to argue despite the fact that it was talking about not doing exactly that,anger,190,34,i decent article which i knew likely had good information because my initial response was to feel offended and want to argue despite the fact that it was talking about not doing exactly that,decent article knew likely good information initial response feel offended want argue despite fact talking not exactly,17,118
i have moments where i just feel so overwhelmed that my eyes well up with tears,fear,79,16,i have moments where i just feel so overwhelmed that my eyes well up with tears,moment just feel so overwhelmed eye well tear,8,45
i started feeling thankful for food for being able to enjoy such delicious things and got into cooking and baking healthy meals for my family,joy,141,25,i started feeling thankful for food for being able to enjoy such delicious things and got into cooking and baking healthy meals for my family,started feeling thankful food able enjoy delicious thing got cooking baking healthy meal family,14,95
i don t want to tag people who think this is silly but if there are people out there who want to be tagged i wouldn t want to make them feel unwelcome,sadness,150,33,i don t want to tag people who think this is silly but if there are people out there who want to be tagged i wouldn t want to make them feel unwelcome,want tag people think silly people want tagged want make feel unwelcome,12,71
im taking is allowing me to get sleep which is wonderful but its leaving me feeling very groggy and nauseated,sadness,109,20,im taking is allowing me to get sleep which is wonderful but its leaving me feeling very groggy and nauseated,im taking allowing get sleep wonderful leaving feeling very groggy nauseated,11,76
i feel an unpleasant drop in my stomach as the elevator doors open at my floor,sadness,78,16,i feel an unpleasant drop in my stomach as the elevator doors open at my floor,feel unpleasant drop stomach elevator door open floor,8,53
i feel that this is a highly talented bunch when roling on all cyclinders,joy,73,14,i feel that this is a highly talented bunch when roling on all cyclinders,feel highly talented bunch roling cyclinders,6,44
i feel his hand on me to stay faithful,love,38,9,i feel his hand on me to stay faithful,feel hand stay faithful,4,23
i was so focused on my heavy breathing my even strides the drops of sweat on my forehead that i forgot to feel socially awkward,sadness,127,25,i was so focused on my heavy breathing my even strides the drops of sweat on my forehead that i forgot to feel socially awkward,so focused heavy breathing even stride drop sweat forehead forgot feel socially awkward,13,87
i cant help feeling this way,sadness,28,6,i cant help feeling this way,cant help feeling way,4,21
i feel like i would order carryout from if i lived in the area i am still curious to try some of their other tacos,surprise,114,25,i feel like i would order carryout from if i lived in the area i am still curious to try some of their other tacos,feel like would order carryout lived area still curious try taco,11,64
i feel that i am afraid of whatever ad anything that will happen and idc is it good or bad i am just afraid and i hope god you will help me in whatever i do,fear,156,36,i feel that i am afraid of whatever ad anything that will happen and idc is it good or bad i am just afraid and i hope god you will help me in whatever i do,feel afraid whatever ad anything happen idc good bad just afraid hope god help whatever,15,87
i entered the living room i had a horrible feeling aching in the depths of my stomach,sadness,85,17,i entered the living room i had a horrible feeling aching in the depths of my stomach,entered living room horrible feeling aching depth stomach,8,57
i feel very glad that finland s well known visual artist vesa kivinen had called me to work with him,joy,100,20,i feel very glad that finland s well known visual artist vesa kivinen had called me to work with him,feel very glad finland well known visual artist vesa kivinen called work,12,72
i feel relatively safe normal or whatever you might call it,joy,59,11,i feel relatively safe normal or whatever you might call it,feel relatively safe normal whatever might call,7,47
i feel bitchy saying it but i think that next saturday i just want to be alone,anger,78,17,i feel bitchy saying it but i think that next saturday i just want to be alone,feel bitchy saying think next saturday just want alone,9,54
i feel very honored to have been shortlisted within the patient ambassador volunteer category which recognises members of the public and staff who provide outstanding help and support through volunteering or providing patient opinions either on a public partnership forum or on a patients panel,joy,294,45,i feel very honored to have been shortlisted within the patient ambassador volunteer category which recognises members of the public and staff who provide outstanding help and support through volunteering or providing patient opinions either on a public partnership forum or on a patients panel,feel very honored shortlisted within patient ambassador volunteer category recognises member public staff provide outstanding help support volunteering providing patient opinion either public partnership forum patient panel,27,223
i feel quite helpless in all of this so prayer is the most effective tool i have because i have no answers and there is nothing else i can offer them right now,sadness,159,33,i feel quite helpless in all of this so prayer is the most effective tool i have because i have no answers and there is nothing else i can offer them right now,feel quite helpless so prayer effective tool no answer nothing else offer right,13,79
i know that you feel pretty disgusted by the nonstop lefty propaganda the ministry churns out but of the public isn t that tuned in,anger,131,25,i know that you feel pretty disgusted by the nonstop lefty propaganda the ministry churns out but of the public isn t that tuned in,know feel pretty disgusted nonstop lefty propaganda ministry churn public tuned,11,79
i feel complacent and satisfied,joy,31,5,i feel complacent and satisfied,feel complacent satisfied,3,25
i ventured into fabrics amp fabrics on a whim yesterday feeling a bit nervous knowing i would be tempted beyond my comfor,fear,121,22,i ventured into fabrics amp fabrics on a whim yesterday feeling a bit nervous knowing i would be tempted beyond my comfor,ventured fabric amp fabric whim yesterday feeling bit nervous knowing would tempted beyond comfor,14,97
i havent been feeling homesick knowing they were all getting together to enjoy my mums cooking did make me want a teleporter,sadness,124,22,i havent been feeling homesick knowing they were all getting together to enjoy my mums cooking did make me want a teleporter,havent feeling homesick knowing getting together enjoy mum cooking make want teleporter,12,87
i feel ugly and hated,sadness,21,5,i feel ugly and hated,feel ugly hated,3,15
i was feeling whether it be mad sad disappointed or peaceful,anger,60,11,i was feeling whether it be mad sad disappointed or peaceful,feeling whether mad sad disappointed peaceful,6,45
i feel as if we have a talented enough team to win some games and go deep into the tournament,joy,93,20,i feel as if we have a talented enough team to win some games and go deep into the tournament,feel talented enough team win game go deep tournament,9,53
i feel i was so innocent to have only one dream to fill my brain and to be crazy about it,joy,89,21,i feel i was so innocent to have only one dream to fill my brain and to be crazy about it,feel so innocent one dream fill brain crazy,8,43
i never feel depressed because my cancer and i have learnt to live and sleep with each other,sadness,92,18,i never feel depressed because my cancer and i have learnt to live and sleep with each other,never feel depressed cancer learnt live sleep,7,45
i can feel the pressure falling more so on my shoulders and im feeling slightly doubtful of myself which leads to unhappy thoughts not usually like my optimistic self i must say,fear,177,32,i can feel the pressure falling more so on my shoulders and im feeling slightly doubtful of myself which leads to unhappy thoughts not usually like my optimistic self i must say,feel pressure falling so shoulder im feeling slightly doubtful lead unhappy thought not usually like optimistic self must say,19,125
i kind of feel a little petty about this,anger,40,9,i kind of feel a little petty about this,kind feel little petty,4,22
i hostage negotiator on her case has her feeling hopeful about her future,joy,73,13,i hostage negotiator on her case has her feeling hopeful about her future,hostage negotiator case feeling hopeful future,6,46
i believe that people should choose the causes they feel passionate about and do what they can and i have no right or desire to push my own charities as more worthy than another,joy,177,34,i believe that people should choose the causes they feel passionate about and do what they can and i have no right or desire to push my own charities as more worthy than another,believe people choose cause feel passionate no right desire push charity worthy another,13,87
i feel privileged to be allowed into the sanctum of her studio the many different paintings and studies lining the walls morph and grow week on week,joy,148,27,i feel privileged to be allowed into the sanctum of her studio the many different paintings and studies lining the walls morph and grow week on week,feel privileged allowed sanctum studio many different painting study lining wall morph grow week week,15,101
i grew up feeling rejected by my male peers,sadness,43,9,i grew up feeling rejected by my male peers,grew feeling rejected male peer,5,31
i feel like that is where i can make my most valued input and tried to do as much as possible to ensure i did an equal part in the construction,joy,143,31,i feel like that is where i can make my most valued input and tried to do as much as possible to ensure i did an equal part in the construction,feel like make valued input tried much possible ensure equal part construction,12,78
i described how i was feeling the feeling of being out of control and completely restless the fear of what could still happen my obsession with trying to do it all and the fact that it was just not working,fear,205,40,i described how i was feeling the feeling of being out of control and completely restless the fear of what could still happen my obsession with trying to do it all and the fact that it was just not working,described feeling feeling control completely restless fear could still happen obsession trying fact just not working,16,116
i feel very important in my fancy room with my fancy furniture and nice view of downtown dallas,joy,95,18,i feel very important in my fancy room with my fancy furniture and nice view of downtown dallas,feel very important fancy room fancy furniture nice view downtown dallas,11,72
i wanna feel good again,joy,23,5,i wanna feel good again,wan na feel good,4,16
i never feel like im not supporting,joy,35,7,i never feel like im not supporting,never feel like im not supporting,6,33
i want you to snap out of it and simply feel simply live laugh enjoy this life no matter how idiotic it is,sadness,106,23,i want you to snap out of it and simply feel simply live laugh enjoy this life no matter how idiotic it is,want snap simply feel simply live laugh enjoy life no matter idiotic,12,68
i assumed it would feel casual,joy,30,6,i assumed it would feel casual,assumed would feel casual,4,25
i will admit and it left me feeling shaken and a bit of a goose,fear,63,15,i will admit and it left me feeling shaken and a bit of a goose,admit left feeling shaken bit goose,6,35
i feel it is dangerous especially for the new believer who is not grounded in the word of god,anger,93,19,i feel it is dangerous especially for the new believer who is not grounded in the word of god,feel dangerous especially new believer not grounded word god,9,60
when we rearranged furniture in our flat and got stuck in a chair,anger,65,13,when we rearranged furniture in our flat and got stuck in a chair,rearranged furniture flat got stuck chair,6,41
i am feeling stressed and more than a bit anxious,anger,49,10,i am feeling stressed and more than a bit anxious,feeling stressed bit anxious,4,28
i persevered through the storm of rejections feeling confident that i was doing what god had called me to do,joy,108,20,i persevered through the storm of rejections feeling confident that i was doing what god had called me to do,persevered storm rejection feeling confident god called,7,55
i was feeling comfortable in the first fight i saw things that were working for me but i m expecting a better rendall munroe because i think he might have underestimated me first time around,joy,190,35,i was feeling comfortable in the first fight i saw things that were working for me but i m expecting a better rendall munroe because i think he might have underestimated me first time around,feeling comfortable first fight saw thing working expecting better rendall munroe think might underestimated first time around,17,126
im not quite sure how she really feels about it because im pretty sure that she realizes that she is going to miss getting to watch the parade which is something she really enjoys,joy,179,34,im not quite sure how she really feels about it because im pretty sure that she realizes that she is going to miss getting to watch the parade which is something she really enjoys,im not quite sure really feel im pretty sure realizes going miss getting watch parade something really enjoys,18,109
i feel somewhat fake in the group,sadness,33,7,i feel somewhat fake in the group,feel somewhat fake group,4,24
i was feeling particularly pissed off and wanted to go to a party,anger,65,13,i was feeling particularly pissed off and wanted to go to a party,feeling particularly pissed wanted go party,6,43
i feel like im still quite bad at describing my feelings with good words and beautiful phrases,sadness,94,17,i feel like im still quite bad at describing my feelings with good words and beautiful phrases,feel like im still quite bad describing feeling good word beautiful phrase,12,74
i feel so heartbroken over paul walker s tragic disappearance the life of someone so generous beautiful and talented should not end this way as other horrible individuals keep on living torturing assaulting and killing people,sadness,225,36,i feel so heartbroken over paul walker s tragic disappearance the life of someone so generous beautiful and talented should not end this way as other horrible individuals keep on living torturing assaulting and killing people,feel so heartbroken paul walker tragic disappearance life someone so generous beautiful talented not end way horrible individual keep living torturing assaulting killing people,24,176
i feel perfectly mellow,joy,23,4,i feel perfectly mellow,feel perfectly mellow,3,21
i feel i have to give credit to jen mitchell for her gorgeous card a href http www,joy,82,18,i feel i have to give credit to jen mitchell for her gorgeous card a href http www,feel give credit jen mitchell gorgeous card href http www,10,57
i am alternating between feeling thrilled to see my dads family this weekend and terrified that i will be a black sheep among their normalcy,joy,140,25,i am alternating between feeling thrilled to see my dads family this weekend and terrified that i will be a black sheep among their normalcy,alternating feeling thrilled see dad family weekend terrified black sheep among normalcy,12,88
i feel for my sweet boy,love,23,6,i feel for my sweet boy,feel sweet boy,3,14
i feel about as helpless and superfluous as i did when jenn had elaine naturally,fear,80,15,i feel about as helpless and superfluous as i did when jenn had elaine naturally,feel helpless superfluous jenn elaine naturally,6,47
i thought i didnt feel anything anymore it was over it was ok well today a different story i feel him i want him my heart hurts thinking he wont be around i still want him around i guess its still valid,joy,202,42,i thought i didnt feel anything anymore it was over it was ok well today a different story i feel him i want him my heart hurts thinking he wont be around i still want him around i guess its still valid,thought didnt feel anything anymore ok well today different story feel want heart hurt thinking wont around still want around guess still valid,23,143
im feeling better so hopefully things start falling back into the old routine,joy,77,13,im feeling better so hopefully things start falling back into the old routine,im feeling better so hopefully thing start falling back old routine,11,67
i hope you feel incredibly cool now,joy,35,7,i hope you feel incredibly cool now,hope feel incredibly cool,4,25
i watched the news at the tv,anger,28,7,i watched the news at the tv,watched news tv,3,15
i didn t really go looking for it but i can definately see where the enjorlas marius ship comes from though sadly i feel it s mostly one sided and that marius is nothing more than a rich schoolboy following his whims without thoughts to the concequences,joy,253,47,i didn t really go looking for it but i can definately see where the enjorlas marius ship comes from though sadly i feel it s mostly one sided and that marius is nothing more than a rich schoolboy following his whims without thoughts to the concequences,really go looking definately see enjorlas marius ship come though sadly feel mostly one sided marius nothing rich schoolboy following whim without thought concequences,24,167
i feel i should as a gracious gesture apologizing for my latest post about the osp and the rand license terms,love,109,21,i feel i should as a gracious gesture apologizing for my latest post about the osp and the rand license terms,feel gracious gesture apologizing latest post osp rand license term,10,67
i get people asking me what it feels like to be the most hated man in dallas county said assessor steve helm,sadness,108,22,i get people asking me what it feels like to be the most hated man in dallas county said assessor steve helm,get people asking feel like hated man dallas county said assessor steve helm,13,76
i have reported feeling marginalized intimidated and or subjected to threats of retaliation,fear,91,13,i have reported feeling marginalized intimidated and or subjected to threats of retaliation,reported feeling marginalized intimidated subjected threat retaliation,7,70
im not sure if im more at peace with our situation or if im just not feeling as bitter about it but in the past five months something has changed within me,anger,155,32,im not sure if im more at peace with our situation or if im just not feeling as bitter about it but in the past five months something has changed within me,im not sure im peace situation im just not feeling bitter past five month something changed within,17,98
i am feeling profoundly peaceful,joy,32,5,i am feeling profoundly peaceful,feeling profoundly peaceful,3,27
i feel bad then for not accepting who i am,sadness,42,10,i feel bad then for not accepting who i am,feel bad not accepting,4,22
i have tried sorting out the area for the cat houses this lunchtime but i guess after the printer ordeal i am feeling quite uptight so it has been put on hold,fear,158,32,i have tried sorting out the area for the cat houses this lunchtime but i guess after the printer ordeal i am feeling quite uptight so it has been put on hold,tried sorting area cat house lunchtime guess printer ordeal feeling quite uptight so put hold,15,93
i made that make me feel dumb and dumber,sadness,40,9,i made that make me feel dumb and dumber,made make feel dumb dumber,5,26
i have power feeling to justify their laziness and being bitchy against skinny girls,anger,84,14,i have power feeling to justify their laziness and being bitchy against skinny girls,power feeling justify laziness bitchy skinny girl,7,49
i feel like my sweet company is finally coming together,love,55,10,i feel like my sweet company is finally coming together,feel like sweet company finally coming together,7,47
im making some more mood icons right now to let you see how i feel and think and of course its all charming,joy,107,23,im making some more mood icons right now to let you see how i feel and think and of course its all charming,im making mood icon right let see feel think course charming,11,60
i feel like i am not accepted here i and bucking this force that is coming from all quarters that tells me that something is wrong with me if i am not married with children,joy,172,35,i feel like i am not accepted here i and bucking this force that is coming from all quarters that tells me that something is wrong with me if i am not married with children,feel like not accepted bucking force coming quarter tell something wrong not married child,14,90
i apologise if the pictures are not very good quality but if youre stuck for ideas feel free to check out the websites in the captions,joy,134,26,i apologise if the pictures are not very good quality but if youre stuck for ideas feel free to check out the websites in the captions,apologise picture not very good quality youre stuck idea feel free check website caption,14,88
i feel fine now even though ive just burned the dinner oops,joy,59,12,i feel fine now even though ive just burned the dinner oops,feel fine even though ive just burned dinner oops,9,49
i feel for this divine landmass and all the respect i bear in my heart for the greatness residing on it,joy,103,21,i feel for this divine landmass and all the respect i bear in my heart for the greatness residing on it,feel divine landmass respect bear heart greatness residing,8,58
i feel like but im not very fond of that word,love,45,11,i feel like but im not very fond of that word,feel like im not very fond word,7,31
i feel vulnerable not knowing what is to come and i feel like the rest of my life depends on today,fear,98,21,i feel vulnerable not knowing what is to come and i feel like the rest of my life depends on today,feel vulnerable not knowing come feel like rest life depends today,11,66
i feel so damn agitated,anger,23,5,i feel so damn agitated,feel so damn agitated,4,21
i feel confident around him and i am always there if he needs help,joy,66,14,i feel confident around him and i am always there if he needs help,feel confident around always need help,6,38
i feel annoyingly isolated in the hostel with all those people talking outside the room etc,sadness,91,16,i feel annoyingly isolated in the hostel with all those people talking outside the room etc,feel annoyingly isolated hostel people talking outside room etc,9,63
i feel like alcoholism is something that is widely accepted as the norm in gay culture,joy,86,16,i feel like alcoholism is something that is widely accepted as the norm in gay culture,feel like alcoholism something widely accepted norm gay culture,9,63
im just now realizing i didnt have a diet coke today and that makes me feel proud regardless of the other junk i consumed today,joy,127,25,im just now realizing i didnt have a diet coke today and that makes me feel proud regardless of the other junk i consumed today,im just realizing didnt diet coke today make feel proud regardless junk consumed today,14,86
i also feel i have accepted my dark side and am finally realizing what of my dark side is healthy,joy,97,20,i also feel i have accepted my dark side and am finally realizing what of my dark side is healthy,also feel accepted dark side finally realizing dark side healthy,10,64
i have spoken about before but the feeling is getting stronger and i am curious if others have similar thoughts,surprise,111,20,i have spoken about before but the feeling is getting stronger and i am curious if others have similar thoughts,spoken feeling getting stronger curious others similar thought,8,62
i feel a bit dull by it all,sadness,27,8,i feel a bit dull by it all,feel bit dull,3,13
i hope it is because he understands the way i feel i hope he sees what he could miss and is putting the petty negative thoughts aside,anger,133,27,i hope it is because he understands the way i feel i hope he sees what he could miss and is putting the petty negative thoughts aside,hope understands way feel hope see could miss putting petty negative thought aside,13,82
i feel so blessed to be able to share it with you all,joy,53,13,i feel so blessed to be able to share it with you all,feel so blessed able share,5,26
i feel a little virtuous doing these things but on the other hand nini s tasted better,joy,86,17,i feel a little virtuous doing these things but on the other hand nini s tasted better,feel little virtuous thing hand nini tasted better,8,50
i say i want to be more of people person but i feel very mellow right now,joy,73,17,i say i want to be more of people person but i feel very mellow right now,say want people person feel very mellow right,8,45
i pull out one of my favorite books to make myself feel miserable,sadness,65,13,i pull out one of my favorite books to make myself feel miserable,pull one favorite book make feel miserable,7,42
i feel convinced that im going to shy away from whatever is really good for me,joy,78,16,i feel convinced that im going to shy away from whatever is really good for me,feel convinced im going shy away whatever really good,9,53
i feel kind of awkward about doing this here goes,sadness,49,10,i feel kind of awkward about doing this here goes,feel kind awkward go,4,20
i feel like i should not be surprised at this development,surprise,57,11,i feel like i should not be surprised at this development,feel like not surprised development,5,35
i am of snuffling and feeling dull,sadness,34,7,i am of snuffling and feeling dull,snuffling feeling dull,3,22
i need to feel creative and productive,joy,38,7,i need to feel creative and productive,need feel creative productive,4,29
i am who god has chosen to help my daughter become the woman god intended her to be even if i don t feel perfect,joy,112,25,i am who god has chosen to help my daughter become the woman god intended her to be even if i don t feel perfect,god chosen help daughter become woman god intended even feel perfect,11,68
i am not feeling too bad except that my ribs are aching and i have a pulled muscle in my shoulder blade region from all my excruciating hours of hacking my lungs out last night,sadness,176,35,i am not feeling too bad except that my ribs are aching and i have a pulled muscle in my shoulder blade region from all my excruciating hours of hacking my lungs out last night,not feeling too bad except rib aching pulled muscle shoulder blade region excruciating hour hacking lung last night,18,115
i am at the point of feeling resentful toward him and i don t want to be,anger,72,17,i am at the point of feeling resentful toward him and i don t want to be,point feeling resentful toward want,5,35
i write this i feel oddly calm like wanting to just relax in a big chair or lay out in the sun,joy,94,22,i write this i feel oddly calm like wanting to just relax in a big chair or lay out in the sun,write feel oddly calm like wanting just relax big chair lay sun,12,63
i feel really inspired,joy,22,4,i feel really inspired,feel really inspired,3,20
i do know that i tell some people if i feel that their question is sincere some of my sacred treasures,joy,102,21,i do know that i tell some people if i feel that their question is sincere some of my sacred treasures,know tell people feel question sincere sacred treasure,8,54
i can sit here and cry and feel wronged but it wont change the outcome,anger,70,15,i can sit here and cry and feel wronged but it wont change the outcome,sit cry feel wronged wont change outcome,7,40
i was worried that maybe she was sleeping so well because she wasn t getting enough milk and was feeling lethargic,sadness,114,21,i was worried that maybe she was sleeping so well because she wasn t getting enough milk and was feeling lethargic,worried maybe sleeping so well getting enough milk feeling lethargic,10,68
i am going to actively learn more about these genres and or practice them so i can feel what i should feel as a dancer gt fearless courageous confident phew,joy,156,30,i am going to actively learn more about these genres and or practice them so i can feel what i should feel as a dancer gt fearless courageous confident phew,going actively learn genre practice so feel feel dancer gt fearless courageous confident phew,14,93
i started feeling a little stressed about leaving on time and making sure we got the getting ready pictures i wanted but everything seemed to workout perfectly,anger,159,27,i started feeling a little stressed about leaving on time and making sure we got the getting ready pictures i wanted but everything seemed to workout perfectly,started feeling little stressed leaving time making sure got getting ready picture wanted everything seemed workout perfectly,17,125
i feel like an ugly monster where i cannot show who i really am lest i seem weird or just plainly an outcast,sadness,108,23,i feel like an ugly monster where i cannot show who i really am lest i seem weird or just plainly an outcast,feel like ugly monster not show really lest seem weird just plainly outcast,13,75
i feel a little guilty that we have this exceptional little girl from ethiopia home and in our arms but this blog continues to surround goosey,sadness,142,26,i feel a little guilty that we have this exceptional little girl from ethiopia home and in our arms but this blog continues to surround goosey,feel little guilty exceptional little girl ethiopia home arm blog continues surround goosey,13,91
i feel the need to layer on fake tan for a night out to give me a bit of colour my clothes do it for me,sadness,103,26,i feel the need to layer on fake tan for a night out to give me a bit of colour my clothes do it for me,feel need layer fake tan night give bit colour clothes,10,54
i feel a real emotional connection to the ice queen from the north now that you have revealed that inhumanity runs in her bloody family,sadness,135,25,i feel a real emotional connection to the ice queen from the north now that you have revealed that inhumanity runs in her bloody family,feel real emotional connection ice queen north revealed inhumanity run bloody family,12,84
i have been designing earrings for some of my customers bridesmaids which i feel honoured to do,joy,95,17,i have been designing earrings for some of my customers bridesmaids which i feel honoured to do,designing earring customer bridesmaid feel honoured,6,51
i could adopt and what messages i could think about to help make me feel more peaceful more grateful and just happier right now,joy,127,24,i could adopt and what messages i could think about to help make me feel more peaceful more grateful and just happier right now,could adopt message could think help make feel peaceful grateful just happier right,13,83
i feel quite worthless but i hear that that is pretty normal for north americans at this point,sadness,94,18,i feel quite worthless but i hear that that is pretty normal for north americans at this point,feel quite worthless hear pretty normal north american point,9,60
i don t feel well enough to cook,joy,32,8,i don t feel well enough to cook,feel well enough cook,4,21
i feel so bad about it and hes stood there bewildered,sadness,53,11,i feel so bad about it and hes stood there bewildered,feel so bad he stood bewildered,6,31
i could feel hundreds of loving people all around the world connecting with earth it was simply beautiful,love,105,18,i could feel hundreds of loving people all around the world connecting with earth it was simply beautiful,could feel hundred loving people around world connecting earth simply beautiful,11,79
i feel not having a generous spirit or a forgiving nature closes me off from accepting gifts from the universe,love,110,20,i feel not having a generous spirit or a forgiving nature closes me off from accepting gifts from the universe,feel not generous spirit forgiving nature close accepting gift universe,10,71
i feel accepted and loved by a community of derby girls that i helped to create,joy,79,16,i feel accepted and loved by a community of derby girls that i helped to create,feel accepted loved community derby girl helped create,8,54
i feel utterly disgusted with myself right now and am contemplating death every waking moment ever since she uttered those few words,anger,132,22,i feel utterly disgusted with myself right now and am contemplating death every waking moment ever since she uttered those few words,feel utterly disgusted right contemplating death every waking moment ever since uttered word,13,92
i often feel confused as to whether i have bipolar or just a really hard core sinful nature,fear,91,18,i often feel confused as to whether i have bipolar or just a really hard core sinful nature,often feel confused whether bipolar just really hard core sinful nature,11,71
i am feeling very thankful,joy,26,5,i am feeling very thankful,feeling very thankful,3,21
i feel privileged to have played against him,joy,44,8,i feel privileged to have played against him,feel privileged played,3,22
i read it at a time amp place where i was feeling less than perfect,joy,67,15,i read it at a time amp place where i was feeling less than perfect,read time amp place feeling less perfect,7,40
im happy but i feel all this pressure to do one thing or another amp it makes me unhappy,sadness,88,19,im happy but i feel all this pressure to do one thing or another amp it makes me unhappy,im happy feel pressure one thing another amp make unhappy,10,57
i feel it is worthwhile to give you all a more in depth city sized if you will look at one of our cycle days,joy,108,25,i feel it is worthwhile to give you all a more in depth city sized if you will look at one of our cycle days,feel worthwhile give depth city sized look one cycle day,10,56
i was still feeling so exhausted from my workouts on monday and tuesday that all i did was go for a walk at the park for about,sadness,126,27,i was still feeling so exhausted from my workouts on monday and tuesday that all i did was go for a walk at the park for about,still feeling so exhausted workout monday tuesday go walk park,10,62
i grabbed my dog and hugged her fiercly for the next hour or so until i began to feel a bit like myself again but i havent completly shaken the feeling and have been feeling rather depressed anxious all day,fear,206,40,i grabbed my dog and hugged her fiercly for the next hour or so until i began to feel a bit like myself again but i havent completly shaken the feeling and have been feeling rather depressed anxious all day,grabbed dog hugged fiercly next hour so began feel bit like havent completly shaken feeling feeling rather depressed anxious day,20,128
i found myself feeling inhibited and shushing her quite a lot,sadness,61,11,i found myself feeling inhibited and shushing her quite a lot,found feeling inhibited shushing quite lot,6,42
i admit that i am jet lagged so during the daylight i feel groggy almost hung over while at night when everyone is tucked in and snoozing a light pops in my brain and i transform into the ever ready bunny,sadness,204,41,i admit that i am jet lagged so during the daylight i feel groggy almost hung over while at night when everyone is tucked in and snoozing a light pops in my brain and i transform into the ever ready bunny,admit jet lagged so daylight feel groggy almost hung night everyone tucked snoozing light pop brain transform ever ready bunny,20,126
i often throw myself into work when i m not with them that same maxim from last week if i feel discouraged the way i move forwards is to offer encouragement to others,sadness,166,33,i often throw myself into work when i m not with them that same maxim from last week if i feel discouraged the way i move forwards is to offer encouragement to others,often throw work not maxim last week feel discouraged way move forward offer encouragement others,15,97
i feel a lot better about the way i wrote this bit of the code,joy,62,15,i feel a lot better about the way i wrote this bit of the code,feel lot better way wrote bit code,7,34
i was supposed to feel sympathy for emma im afraid i failed,fear,59,12,i was supposed to feel sympathy for emma im afraid i failed,supposed feel sympathy emma im afraid failed,7,44
i feel inside this life is like a game sometimes then you came around me the walls just dissapeared nothing to surround me keep me from my fears im unprotected see how ive opened up youve made me trust coz ive never felt like this before im naked around you does it show,sadness,270,53,i feel inside this life is like a game sometimes then you came around me the walls just dissapeared nothing to surround me keep me from my fears im unprotected see how ive opened up youve made me trust coz ive never felt like this before im naked around you does it show,feel inside life like game sometimes came around wall just dissapeared nothing surround keep fear im unprotected see ive opened youve made trust coz ive never felt like im naked around show,32,189
i have no energy to get angry or upset anymore i just feel a little resigned,sadness,76,16,i have no energy to get angry or upset anymore i just feel a little resigned,no energy get angry upset anymore just feel little resigned,10,59
i cant tell you how many times in the four months we have been seeing each other seriously that we have had to have serious emotional talks because one or both of us was feeling tender,love,184,36,i cant tell you how many times in the four months we have been seeing each other seriously that we have had to have serious emotional talks because one or both of us was feeling tender,cant tell many time four month seeing seriously serious emotional talk one u feeling tender,15,91
i am feeling so emotional about your brothers arrival,sadness,53,9,i am feeling so emotional about your brothers arrival,feeling so emotional brother arrival,5,36
im even feeling liked by the girls who hate pretty much everyone,love,64,12,im even feeling liked by the girls who hate pretty much everyone,im even feeling liked girl hate pretty much everyone,9,52
i go through my day feeling your movements and am amazed that something so miraculous is happening in my body its like a special secret only you and i have,surprise,155,30,i go through my day feeling your movements and am amazed that something so miraculous is happening in my body its like a special secret only you and i have,go day feeling movement amazed something so miraculous happening body like special secret,13,89
i feel is valuable and i want to share,joy,38,9,i feel is valuable and i want to share,feel valuable want share,4,24
i feel so unloved without you next to me but when im with you,sadness,61,14,i feel so unloved without you next to me but when im with you,feel so unloved without next im,6,31
